Planet Ultrafit Gym & Fitne..,-9999737161,4.6,6,"137/1, Saidulajab MB Road, Saket, Delhi - 110017, Near Saket Metro Station Gate No-2"
,,,,
The Body Move Fitness,-9899580481,4.3,10,"Niti Bagh Club, Neeti Bagh-South Extension 2, Delhi - 110049, Near Gargi College"
,,,,
Strive fitness studio,-43005729,4.5,46,"B7/114 A, Safdarjung Enclave, Delhi - 110029, Near JRD Hotel"
,,,,
Gym 2.O,-45271158,4.2,16,"D 64 1st Floor, Gali No.3, Laxmi Nagar, Delhi - 110092, Near By Metro Piller No.31"
,,,,
Golds Gym,-7439179837,4.4,183,"81/1 4th Floor Aurobindo Tower,, Sri Aurobindo Marg, Adchini-sarvodaya Enclave, Delhi - 110017"
,,,,
I Lift Fitness,7947079401,4.3,23,"S2 1 St & 2nd Floor, Green Park, Delhi - 110016, Main Market"
,,,,
Kshastra Academy,7947226023,4.8,69,"69, South Anarkali Extension, Street No. 11, Krishna Nagar, Delhi - 110051, Near MCD Community Centre"
,,,,
F N F Gym,7947223977,4.6,243,"C2/5, Lal Quotors, Krishna Nagar, Delhi - 110051"
,,,,
The Battlefield,-9999936267,4.4,65,"619/10, Opposite Tivoli Garden, Chattarpur, Delhi - 110074"
,,,,
Blacks Gym,-9811268729,4.3,124,"House Number- 49, 51, Jor Bagh Lane, Jor Bagh, Delhi - 110003, Near Jor Bagh Metro Station, Block- G, B K Dutt Colony"
,,,,
Yogashram And Natural Healt..,7947209749,4.5,8,"1, R K Puram, Delhi - 110022, Near Vasant Place Market, Sector 6"
,,,,
Yes Fitness Gym and Aerobic..,7947218456,4,117,"A-2/8, Above Volkswagen Showroom, Safdarjung Enclave, Delhi - 110029, Opposite Bhikaji Kama Place"
,,,,
Fitness One Gym And Spa,7947453019,4.7,49,"161a/9, 1st Floor, Union Bank, Kishangarh Vasant Kunj Road, Vasant Kunj, Delhi - 110070, Near Ambiance Tower"
,,,,
Total fitness center,7947215749,4.1,37,"Yoga Ashram, Rk Puram Sector 6, Delhi - 110022, Near Vasant Place Market & Malai Mandir"
,,,,
Tiger Firness Club,7947223048,4,3,"Jaunapur Village, 3rd Bus Stand, Mandi, Delhi - 110047, Sbi Bank"
,,,,
Personal Home Trainer,-9250435635,4.4,18,"945 Rk Puram, Rk Puram Sector, Netaji Nagar, Delhi - 110023, Community Center"
,,,,
Hibiscus India,-42440021,4.1,635,"C 32, Vasant Kunj, Delhi - 110070, Near Nathu Singh Market"
,,,,
Fit With Box,7947461607,4.5,1,"C-11/8,, Yamuna Vihar, Delhi - 110053, Below Piya Panchwati"
,,,,
City Unisex Fitness,-43095776,4.3,16,"Shop No -1063, Main Road Mukherjee Nagar, Dr Mukherjee Nagar, Delhi - 110009, Near Batra Cinema"
,,,,
Milestone Gym Cafe,7947217517,4.3,28,"C-29A First Floor, Vijay Nagar, Single Storie, Kingsway Camp, Delhi - 110009, Opposite Mcd Dispencery,  Above HDFC Bank,Vijay Nagar, Single Storey"
,,,,
Divaa Fitness -the Workout ..,-42465999,4.1,10,"3/26, Basement,, East Patel Nagar, Delhi - 110008, Near J P Siddharth Hotel"
,,,,
The Gymnasium Commit To Be ..,7947452631,5,14,"2528, Hudson Lane, GTB Nagar, Delhi - 110009, CCD"
,,,,
Kris Gethin Gyms,7947453012,4.6,11,"UG 26, Lg 17, Dlf Grand Mall, Mg Road, MG Road, Gurgaon - 122002, Sikandarpur Metro Station"
,,,,
Anytime Fitness,7947219674,4,134,"23/14, First Floor, East Patel Nagar, Delhi - 110008, Near Main Market"
,,,,
Butterfly Gym and Fitness A..,-8471070616,4.3,84,"29/8,East Patel Nagar Market, East Patel Nagar, Delhi - 110008, Near Butterfly House  & SIDHARTH HOTEL"
,,,,
Sweat House Gym,-41639909,4.8,23,"2509, Hudson Lane, Kingsway Camp, Delhi - 110009, Hudson Lane Bus Stand"
,,,,
Mp Fitness,-9069006979,4.2,6,"City Club, DLF City Phase 3, Gurgaon - 122010"
,,,,
Universal Gym,7947220554,4.1,236,"House No. 798, Sarasvati Vihar, Mg Road, Saraswati Vihar Gurgaon, Gurgaon - 122002, Behind Sahara Mall"
,,,,
Dronacharya The Gym,-8860815789,4.1,26,"Shop Number-12/1, Basement, East Patel Nagar, Delhi - 110008, Main Market, Opposite -Andhra Bank"
,,,,
Spartan Fitness Club,-8585903650,4.5,47,"Plot No. 450P, Sector 43  Golf Course Road, Gurgaon Sector 43, Gurgaon - 122002, NR. American School Road and Behind Dell Building"
,,,,
The Sweat Yard,-8448225163,4.9,25,"701 1st Floor, Near Batra Cinema, Dr Mukherjee Nagar, Delhi - 110009, Batra Cinema"
,,,,
Beyond Fitness,-4368101,4.3,113,"C 1, Gurgaon Sector 40, Gurgaon - 122001, Near Huda Market and Unitech Cyber Park"
,,,,
The Sweat Yard,-8448225163,4.9,25,"701 1st Floor, Near Batra Cinema, Dr Mukherjee Nagar, Delhi - 110009, Batra Cinema"
,,,,
Mg Dys Gym,-9319292875,4.9,7,"Element One Mall, Gurgaon Sector 49, Gurgaon - 122018, Above Hadiram"
,,,,
Spartan Unique Fitness Stud..,7947220501,3.5,3,"Bldng No 29, Second Floor, Main  Market  Moti Nagar, Moti Nagar, Delhi - 110015, Nr Tanga Stand"
,,,,
The Body Line Gym,7947228380,3.9,13,"H.No-625 P, lpot no. 58, Gurgaon Sector 45, Gurgaon - 122003, Near St. Angel School"
,,,,
Fitness Studio INDIA,7947235989,4.1,59,"D-48, South City 2, Gurgaon - 122018, Near D- Market"
,,,,
Universal Gym,7947223730,0.5,1,"R-4, 2nd floor, Galleria market, Galleria DLF IV, Gurgaon - 122009, Near cross point mall"
,,,,
The Gym Health Planet,7947231620,4.9,168,"B-3/3,, Ashok Vihar Phase 2, Ashok Vihar, Delhi - 110052"
,,,,
The Tone Zone,-43686202,4.3,9,"2303, Basement, Hudson Lane, Kingsway Camp, Delhi - 110009, Near Gtb Nagar Gate Number 4"
,,,,
Cuboco Fitness Centre,7947077097,4.7,67,"56/43 basement, West Punjabi Bagh, Delhi - 110026, Near central market"
,,,,
Ozone Fitness N Spa,7947216289,3.8,430,"23 N W A, Club Road, Punjabi Bagh, Delhi - 110026"
,,,,
Athlete Gym Crossfit & Spa,-9717663495,3,5,"1026/1, Railway Road, Gurgaon Sector 5, Gurgaon - 122001, Mata Chint Poorni Mandir"
,,,,
Sangam Sports,-9415148164,4.6,24,"Shop# 46,1st Floor, Secror 48, Sohna Road, Gurgaon - 122001, JMD Galleria"
,,,,
Fit Fataang,-25915475,4.6,104,"J 116/1, Ground Floor, Main Market Rajouri Garden, Main Market, Rajouri Garden, delhi - 110027, Opposite Women Clothing"
,,,,
Anytime Fitness,7947219425,4,224,"FC-1 TDI Mall 3rd Floor, Rajouri Garden, Delhi - 110027, Near Vishal Cinema"
,,,,
Mettlesome Fitness Studio,7947229331,4.9,99,"F-613, Palam Extension, Ramphal Chowk, Sector-7,, Dwarka, Delhi - 110075"
,,,,
Golds Gym,7947212933,4,1315,"A 67-70, 2nd & 3rd Floor, Palam Extension, Ram Phal Chowk, Dwarka Sector 7, Delhi - 110075, Near ICICI Bank"
,,,,
Fit I M,7947221969,4,55,"RZD-6,2nd Floor, Mahavir Enclave Part 1, Palam, Delhi - 110045, Near Sulabh International Museum"
,,,,
The Global Fitness,7947220702,3.6,114,"Vardhman Prime Plaza, BN Block Market , LSC , Above Bikaner, Shalimar Bagh East, Delhi - 110088, Near Ever Bake"
,,,,
The Bodyline Gym,-9811747420,4.3,69,"Main Jharsa Road T-point More Retail Sector 15 Part -1, 398/1 New Railway Road Opp Sheetal Hospital, Gurgaon Sector 49, Delhi - 122018, B-1 Southcity2 Sohna Road"
,,,,
Power Club Unisex Health Cl..,-9582011947,4.6,7,"C-4, Ajay Enclave, Ashok Nagar, Delhi - 110018, Near Radha Swami Satsang Bhawan"
,,,,
MV Nutrition,-9313489916,4.4,37,"14,Kirti Nagar, Jharsa Road, Gurgaon Sector 15, Gurgaon - 122001, Near Reliance Fresh"
,,,,
Fitness Paramount Trainer F..,-8708124042,4.7,80,"A-3, Sunshine Appartment, Paschim Vihar, Delhi - 110063, Near Balaji Hospital"
,,,,
No Limits Fitness Gym & Spa,-9811665923,3.9,4,"First Floor , Manish Metro Plaza, Pocket -5 , Plot No.1, Dwarka Sector 12, delhi - 110078, At K.M. Chowk"
,,,,
Iron Bar Fitness & Spa,-7982754037,4.8,107,"A-21, Pushpanjali, Pitampura, Delhi - 110034"
,,,,
Dharamraj Mental Toughness ..,-9315806931,4.6,8,"Basement, 49/2A, Budella Village,, Vikaspuri, Delhi - 110018, Opp. Community Hall & DG-2 DDA Market"
,,,,
C M Fitness,-9810030685,3.8,59,"Add : C-61(Corporate Office ), Ashok Vihar 3, Delhi - 110052, Near Laxmi Bai College, Shakti Nagar Extension"
,,,,
Ds Health Care Group,7947221139,3.8,5,"National Market, Peera Garhi, Delhi - 110087, Near Balimiki Chowk"
,,,,
MEGA FITNESS CLUB,-9354647958,3.8,24,"A-15, SHUBHAM ENCLAVE, Paschim Vihar, Delhi - 110063, NEAR BHERA ENCLAVE CIRCLE"
,,,,
Energie Gym,-9266628928,3.9,39,"M-4-2, Second Floor, Sonia PVR, Vikaspuri, Delhi - 110018"
,,,,
MEGA FITNESS CLUB,-9354647958,3.8,24,"A-15, SHUBHAM ENCLAVE, Paschim Vihar, Delhi - 110063, NEAR BHERA ENCLAVE CIRCLE"
,,,,
Energie Gym,-9266628928,3.9,39,"M-4-2, Second Floor, Sonia PVR, Vikaspuri, Delhi - 110018"
,,,,
Health Solution Gym And Spa,-9811107860,4.3,7,"Plot No 1 and 2, Dwarka, Delhi - 110075, Near Sector 17 Police Station"
,,,,
Yes Gym,-7011494137,4.9,84,"A-76, 1st Floor, Gurudwara Road, Mohan Garden, Delhi - 110059, Metro Pillar No. 745"
,,,,
Cross X Fit,-9717672544,4.5,9,"Y5 Gali, Budh Vihar Phase 1, Delhi - 110086, Near Shukar Bazar Road"
,,,,
Moksh Marg Gym & Spa,-9953189923,4.2,72,"Plot No 44 Bhagwati Garden, Polo Garden Road, Uttam Nagar, Delhi - 110059, Near Dwarka Mor Metro Station"
,,,,
Prince Fitness Master Train..,7947466818,3.5,2,"C-5/1, Sultanpuri, Sultanpuri, Delhi - 110086, Near Ploice Station"
,,,,
Knock Out Martial Arts and ..,7947229147,4.9,103,"Rz 1 Shukhi Ram Patk, Main Matiala Road, Uttam Nagar, Delhi - 110059, Near Metro Piller No 722 Near Aggarwal Sweets"
,,,,
O 3 Gym & Fitness,-9911656275,4.3,140,"C-30,Nawada Shopping Complex, Dwarka More, Delhi - 110059, Near Metropillar No 792"
,,,,
Championn Gym,7947081689,3.9,13,"840, Narela Rd, Alipur, D-36, Alipur, Delhi - 110036"
,,,,
MS Fitness Gym,8045799821,5,6,"Narela, Delhi - 110040, Near Bankner Pulliya, Bankner"
,,,,
Golds Gym,-4247191,4.1,1313,"E/16/B 2, 2nd Floor, Kirtiman Plaza, Noida Sector 30, Noida - 201303, Near NMC Hospital"
,,,,
Ramagya Sports Academy,7947214701,4,866,"E-7, Sector-50, Noida Sector 50, Noida - 201307"
,,,,
Anytime Fitness,-8448125912,3.8,838,"Shop No 301,304,309,312, Jaipuria Plaza, 2nd Floor, Noida Sector 26, noida - 201301, Opposite DPS School"
,,,,
Anytime Fitness,-9971329999,3.8,838,"Jaipuria Plaza, D-Block, Sector 26, Noida - 201301, Sai Mandir"
,,,,
Kailash Health Village,-2400029,4,639,"C-38, Noida Sector 62, Noida - 201309, Opposite Amar Ujala"
,,,,
Club 26,-4311820,4.1,606,"E-1, Noida Sector 26, Noida - 201301"
,,,,
